datum,anzahl_belege,summe_anzahl
2025-01-02,152,152
2025-01-03,237,237
2025-01-06,291,291
2025-01-07,128,128
2025-01-08,184,184
2025-01-09,241,241
2025-01-10,196,196
2025-01-13,182,182
2025-01-14,219,219
2025-01-15,191,191
2025-01-16,261,261
2025-01-17,285,285
2025-01-20,260,260
2025-01-21,247,247
2025-01-22,113,113
2025-01-23,127,127
2025-01-24,204,204
2025-01-27,138,138
2025-01-28,187,187
2025-01-29,179,179
2025-01-30,259,259
2025-01-31,230,230
2025-02-03,231,231
2025-02-04,224,224
2025-02-05,234,234
2025-02-06,250,250
2025-02-07,170,170
2025-02-10,222,222
2025-02-11,133,133
2025-02-12,187,187
2025-02-13,224,224
2025-02-14,129,129
2025-02-17,314,314
2025-02-18,193,193
2025-02-19,149,149
2025-02-20,293,293
2025-02-24,297,297
2025-02-25,219,219
2025-02-26,287,287
2025-02-27,253,253
2025-02-28,173,173
2025-03-03,236,236
2025-03-04,259,259
2025-03-05,267,267
2025-03-06,203,203
2025-03-07,207,207
2025-03-10,215,215
2025-03-11,207,207
2025-03-12,232,232
2025-03-13,265,265
2025-03-14,171,171
2025-03-17,205,205
2025-03-18,184,184
2025-03-19,217,217
2025-03-20,195,195
2025-03-21,241,241
2025-03-24,112,112
2025-03-25,164,164
2025-03-26,97,97
2025-03-27,119,119
2025-03-28,111,111
2025-03-31,182,182
2025-04-01,199,199
2025-04-02,216,216
2025-04-03,207,207
2025-04-04,252,252
2025-04-07,156,156
2025-04-08,209,209
2025-04-09,187,187
2025-04-10,178,178
2025-04-11,163,163
2025-04-14,176,176
2025-04-15,227,227
2025-04-16,185,185
2025-04-17,277,277
2025-04-22,233,233
2025-04-23,125,125
2025-04-24,105,105
2025-04-25,150,150
2025-04-28,157,157
2025-04-29,170,170
2025-04-30,196,196
2025-05-02,229,229
2025-05-05,220,220
2025-05-06,221,221
2025-05-07,126,126
2025-05-08,219,219
2025-05-09,165,165
2025-05-12,99,99
2025-05-13,140,140
2025-05-14,156,156
2025-05-15,213,213
2025-05-16,105,105
2025-05-19,102,102
2025-05-20,87,87
2025-05-21,189,189
2025-05-22,212,212
2025-05-23,175,175
2025-05-26,151,151
2025-05-27,149,149
2025-05-28,136,136
2025-05-30,85,85
2025-06-02,120,120
2025-06-03,118,118
2025-06-04,104,104
2025-06-05,150,150
2025-06-06,116,116
2025-06-10,137,137
2025-06-11,17,17
2025-06-12,136,136
2025-06-13,108,108
2025-06-16,119,119
2025-06-17,78,78
2025-06-18,114,114
2025-06-19,73,73
2025-06-20,139,139
2025-06-23,133,133
2025-06-24,132,132
2025-06-25,134,134
2025-06-26,116,116
2025-06-27,82,82
2025-06-30,85,85
2025-07-01,160,160
2025-07-02,161,161
2025-07-03,179,179
2025-07-04,149,149
2025-07-07,225,225
2025-07-08,183,183
2025-07-09,178,178
2025-07-10,131,131
2025-07-11,103,103
2025-07-14,139,139
2025-07-15,165,165
2025-07-16,199,199
2025-07-17,283,283
2025-07-18,250,250
2025-07-21,214,214
2025-07-22,193,193
2025-07-23,216,216
2025-07-24,248,248
2025-07-25,179,179
2025-07-28,201,201
2025-07-29,171,171
2025-07-30,180,180
2025-07-31,150,150
2025-08-01,234,234
2025-08-04,157,157
2025-08-05,222,222
2025-08-06,235,235
2025-08-07,221,221
2025-08-08,223,223
2025-08-11,214,214
2025-08-12,139,139
2025-08-13,181,181
2025-08-14,255,255
2025-08-15,177,177
2025-08-18,183,183
2025-08-19,196,196
2025-08-20,309,309
2025-08-21,214,214
2025-08-22,302,302
2025-08-25,109,109
2025-08-26,217,217
2025-08-27,177,177
2025-08-28,186,186
2025-08-29,160,160
2025-09-01,205,205
2025-09-02,255,255
2025-09-03,188,188
2025-09-04,206,206
2025-09-05,137,137
2025-09-08,219,219
2025-09-09,145,145
2025-09-10,90,90
2025-09-11,116,116
2025-09-12,143,143
2025-09-15,219,219
2025-09-16,222,222
2025-09-17,249,249
2025-09-18,246,246
2025-09-19,237,237
2025-09-22,179,179
2025-09-23,252,252
2025-09-24,251,251
2025-09-25,250,250
2025-09-26,192,192
2025-09-29,123,123
2025-09-30,109,109
2025-10-01,130,130
2025-10-02,159,159
2025-10-06,137,137
2025-10-07,137,137
2025-10-08,142,142
2025-10-09,174,174
2025-10-10,127,127
2025-10-13,175,175
2025-10-14,242,242
2025-10-15,197,197
2025-10-16,252,252
2025-10-17,209,209
2025-10-20,161,161
2025-10-21,269,269
2025-10-22,221,221
2025-10-23,215,215
2025-10-24,247,247
2025-10-27,196,196
2025-10-28,209,209
2025-10-29,210,210
2025-10-30,165,165
2025-11-03,216,216
2025-11-04,199,199
2025-11-05,205,205
2025-11-06,168,168
2025-11-07,206,206
2025-11-10,88,88
2025-11-11,98,98
2025-11-12,183,183
2025-11-13,116,116
2025-11-14,129,129
2025-11-17,150,150
2025-11-18,79,79
2025-11-19,92,92
2025-11-20,179,179
2025-11-21,79,79
2025-11-24,153,153
2025-11-25,142,142
2025-11-26,62,62
2025-11-27,60,60
2025-11-28,135,135
2025-12-01,61,61
2025-12-02,48,48
2025-12-03,63,63
2025-12-04,127,127
2025-12-05,69,69
2025-12-08,84,84
2025-12-09,119,119
2025-12-10,128,128
2025-12-11,78,78
2025-12-12,102,102
2025-12-15,84,84
2025-12-16,155,155
2025-12-17,100,100
2025-12-18,103,103
2025-12-19,210,210
2025-12-22,127,127
2025-12-23,65,65
2025-12-29,140,140
2025-12-30,145,145
2026-01-02,70,70
2026-01-05,101,101
2026-01-06,129,129
2026-01-07,202,202
2026-01-08,102,102
2026-01-09,89,89
2026-01-12,232,232
2026-01-13,150,150
2026-01-14,87,87
2026-01-15,201,201
2026-01-16,65,65
2026-01-19,161,161
2026-01-20,236,236
2026-01-21,168,168
2026-01-22,257,257
2026-01-23,71,71
2026-01-26,222,222
2026-01-27,104,104
2026-01-28,149,149
2026-01-29,210,210
2026-01-30,138,138
2026-02-02,201,201
2026-02-03,168,168
2026-02-04,101,101
2026-02-05,196,196
2026-02-06,170,170
2026-02-09,85,85
2026-02-10,245,245
2026-02-11,123,123
2026-02-12,169,169
2026-02-13,106,106
2026-02-16,199,199
2026-02-17,210,210
2026-02-18,163,163
2026-02-19,163,163
2026-02-20,16,16
2026-02-21,1,1
2026-02-23,235,235
2026-02-24,314,314
2026-02-25,172,172
2026-02-26,160,160
2026-02-27,131,131
2026-03-02,248,248
2026-03-03,207,207
2026-03-04,171,171
2026-03-05,190,190
2026-03-06,240,240
2026-03-09,179,179
2026-03-10,135,135
2026-03-11,201,201
2026-03-12,177,177
2026-03-13,192,192
2026-03-16,200,200
2026-03-17,233,233
2026-03-18,90,90
2026-03-19,167,167
2026-03-20,205,205
2026-03-23,131,131
2026-03-24,176,176
2026-03-25,130,130
2026-03-26,64,64
2026-03-27,127,127
2026-03-30,149,149
2026-03-31,279,279
2026-04-01,170,170
2026-04-02,197,197
2026-04-07,151,151
2026-04-08,164,164
2026-04-09,160,160
2026-04-10,248,248
2026-04-13,197,197
2026-04-14,175,175
2026-04-15,188,188
2026-04-16,65,65
2026-04-17,99,99
2026-04-20,263,263
2026-04-21,214,214
2026-04-22,171,171
2026-04-23,180,180
2026-04-24,110,110
2026-04-27,112,112
2026-04-28,201,201
2026-04-29,164,164
2026-04-30,260,260
2026-05-04,228,228
2026-05-05,194,194
2026-05-06,143,143
2026-05-07,217,217
2026-05-08,196,196
2026-05-11,152,152
2026-05-12,136,136
2026-05-13,190,190
2026-05-15,155,155
2026-05-18,120,120
2026-05-19,91,91
2026-05-20,170,170
2026-05-21,162,162
2026-05-22,148,148
2026-05-26,144,144
2026-05-27,100,100
2026-05-28,147,147
2026-05-29,136,136
2026-06-01,114,114
2026-06-02,138,138
2026-06-03,103,103
2026-06-04,93,93
2026-06-05,117,117
2026-06-08,98,98
2026-06-09,111,111
2026-06-10,86,86
2026-06-11,110,110
2026-06-12,87,87
2026-06-15,111,111
2026-06-16,69,69
2026-06-17,106,106
